# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
0		4293		2234		1077
1		3644		4181		1189
2		3403		5984		1288
3		3218		7679		1343
4		3042		9283		1391
5		2920		10784		1411
6		2788		12214		1463
7		2712		13556		1477
8		2641		14847		1491
9		2604		16109		1481
10		2536		17349		1516
11		2492		18562		1518
12		2458		19747		1541
13		2412		20899		1551
14		2394		22017		1556
15		2366		23112		1556
16		2347		24188		1560
17		2322		25248		1566
18		2309		26281		1575
19		2298		27301		1572
20		2280		28310		1580
21		2269		29306		1582
22		2260		30287		1587
23		2250		31257		1584
24		2248		32218		1587
25		2229		33174		1587
26		2220		34114		1593
27		2217		35040		1596
28		2198		35964		1602
29		2195		36872		1597
30		2185		37774		1596
31		2180		38669		1597
32		2174		39560		1601
33		2171		40447		1596
34		2166		41331		1602
35		2160		42204		1604
36		2157		43077		1607
37		2151		43950		1609
38		2152		44812		1606
39		2147		45674		1607
40		2137		46534		1607
41		2125		47385		1610
42		2116		48225		1610
43		2116		49050		1607
44		2109		49875		1606
45		2102		50688		1606
46		2103		51493		1607
47		2098		52299		1607
48		2096		53103		1611
49		2092		53903		1608
50		2089		54695		1610
51		2084		55487		1608
52		2085		56273		1611
53		2081		57063		1611
54		2078		57842		1610
55		2074		58617		1608
56		2073		59387		1610
57		2070		60156		1609
58		2067		60922		1613
59		2066		61685		1613
60		2064		62447		1614
61		2061		63206		1612
62		2060		63959		1614
63		2057		64710		1613
64		2058		65459		1614
65		2056		66207		1613
66		2057		66954		1615
67		2054		67702		1615
68		2053		68445		1615
69		2050		69188		1613
70		2051		69927		1615
71		2045		70666		1612
72		2045		71402		1613
73		2042		72139		1612
74		2042		72869		1614
75		2038		73601		1615
76		2036		74329		1617
77		2033		75050		1615
78		2033		75768		1615
79		2031		76482		1615
80		2029		77192		1615
81		2026		77901		1618
82		2025		78606		1618
83		2024		79309		1619
84		2023		80010		1617
85		2019		80706		1621
86		2017		81400		1620
87		2015		82090		1622
88		2013		82776		1623
89		2012		83459		1623
90		2009		84139		1622
91		2007		84815		1622
92		2004		85487		1625
93		2003		86155		1622
94		2001		86819		1622
95		2000		87481		1624
96		1999		88145		1626
97		1998		88807		1625
98		1996		89464		1627
99		1995		90120		1626
100		1994		90774		1627
101		1994		91427		1626
102		1994		92080		1627
103		1994		92735		1626
104		1993		93387		1629
105		1993		94039		1627
106		1991		94689		1626
107		1988		95336		1624
108		1987		95978		1627
109		1987		96619		1626
110		1985		97261		1627
111		1985		97900		1626
112		1985		98541		1627
113		1982		99181		1625
114		1981		99817		1626
115		1979		100450		1626
116		1977		101081		1628
117		1977		101710		1627
118		1976		102340		1627
119		1975		102968		1626
120		1975		103597		1628
121		1971		104226		1630
122		1971		104851		1632
123		1969		105473		1633
124		1967		106094		1634
125		1968		106711		1633
126		1967		107329		1634
127		1966		107946		1634
128		1965		108561		1635
129		1964		109177		1636
130		1964		109793		1636
131		1964		110409		1637
132		1963		111022		1637
133		1961		111633		1638
134		1960		112243		1636
135		1959		112851		1637
136		1959		113458		1636
137		1959		114065		1637
138		1959		114672		1636
139		1959		115279		1637
140		1959		115886		1636
141		1957		116492		1639
142		1956		117096		1638
143		1955		117698		1641
144		1954		118298		1640
145		1953		118896		1641
146		1953		119495		1640
147		1953		120094		1641
148		1953		120693		1640
149		1953		121292		1641
150		1953		121891		1640
151		1953		122490		1641
152		1951		123090		1642
153		1949		123685		1643
154		1949		124279		1643
155		1949		124873		1643
156		1948		125466		1643
157		1947		126061		1642
158		1946		126652		1642
159		1944		127241		1643
160		1944		127829		1643
161		1944		128417		1643
162		1944		129005		1643
163		1943		129592		1643
164		1943		130178		1643
165		1943		130764		1643
166		1943		131350		1643
167		1943		131936		1643
168		1943		132522		1643
169		1942		133107		1644
170		1942		133691		1644
171		1940		134273		1644
172		1939		134852		1645
173		1939		135430		1645
174		1939		136008		1645
175		1938		136587		1647
176		1938		137163		1647
177		1938		137739		1647
178		1938		138315		1647
179		1937		138890		1647
180		1937		139464		1647
181		1937		140038		1647
182		1937		140612		1647
183		1937		141186		1647
184		1937		141760		1647
185		1937		142334		1647
186		1937		142908		1647
187		1937		143482		1647
188		1937		144056		1647
189		1936		144629		1648
190		1935		145203		1649
191		1935		145775		1649
192		1934		146346		1650
193		1933		146915		1650
194		1930		147482		1653
195		1930		148048		1653
196		1929		148613		1652
197		1929		149177		1652
198		1929		149741		1652
199		1929		150305		1652
200		1929		150871		1653
201		1929		151435		1653
202		1929		151999		1653
203		1929		152563		1653
204		1929		153127		1653
205		1927		153691		1654
206		1927		154253		1654
207		1927		154815		1654
208		1927		155377		1654
209		1927		155939		1654
210		1927		156501		1654
211		1927		157063		1654
212		1927		157625		1654
213		1927		158187		1654
214		1927		158749		1654
215		1927		159311		1654
216		1925		159875		1654
217		1925		160435		1654
218		1925		160995		1654
219		1925		161555		1654
220		1925		162115		1654
221		1923		162674		1655
222		1923		163232		1655
223		1923		163790		1655
224		1923		164348		1655
225		1923		164906		1655
226		1922		165464		1656
227		1922		166022		1656
228		1922		166580		1656
229		1921		167139		1656
230		1921		167695		1656
231		1921		168251		1656
232		1921		168807		1656
233		1920		169362		1656
234		1920		169916		1656
235		1919		170469		1656
236		1919		171021		1656
237		1919		171573		1656
238		1919		172125		1656
239		1919		172677		1656
240		1919		173229		1656
241		1919		173781		1656
242		1918		174332		1656
243		1918		174882		1656
244		1918		175432		1656
245		1918		175982		1656
246		1918		176532		1656
247		1917		177083		1656
248		1917		177633		1656
249		1917		178183		1656
